<<<<<<< HEAD
1;SDADFIBASlefduiyhas;7;10000,00
2;SDADFIBASlefduiyhas;7;10000,00
1;SDADFIBASlefduiyhas;7;10000,00
1;SDADFIBASlefduiyhas;7;10000,00
2;SDADFIBASlefduiyhas;7;10000,00
=======
1;Busco programador para trabalhar em tempo integral;2;1000,00
2;Busco programador para um job que implementará uma feature;2;5000,00
3;Busco programador para um job que implementará uma feature;2;3000,00
1;Busco programador para um job que implementará uma feature;2;3000,00
2;Busco programador para um job que implementará uma feature;2;5000,00
3;Busco programador para trabalhar em tempo integral;2;1000,00
1;Busco programador para trabalhar em tempo integral;2;1000,00
2;Busco programador para um job que implementará uma feature;2;5000,00
3;Busco programador para um job que implementará uma feature;2;3000,00
1;Busco programador para um job que implementará uma feature;2;3000,00
2;Busco programador para um job que implementará uma feature;2;5000,00
3;Busco programador para trabalhar em tempo integral;2;1000,00
4;Busco programador para um job que implementará uma feature;2;3000,00
1;Busco programador para um job que implementará uma feature;2;3000,00
2;Busco programador para trabalhar em tempo integral;2;1000,00
3;Busco programador para um job que implementará uma feature;2;5000,00
4;Busco programador para um job que implementará uma feature;2;3000,00
>>>>>>> feature/login-empresa
